citi_id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
78,northam,0,AU,1566944702,27,-31.65,116.67,291.15,5.1
79,grande prairie,75,CA,1566944492,55,55.17,-118.79,292.15,8.7
80,yellowknife,40,CA,1566944703,63,62.45,-114.38,290.15,4.6
81,lavrentiya,70,RU,1566944703,56,65.58,-170.99,287.1,1.05
82,nemuro,0,JP,1566944703,91,43.32,145.57,290.2,3.69
83,muros,90,ES,1566944703,93,42.77,-9.06,293.71,1.5
84,bodden town,20,KY,1566944703,70,19.28,-81.25,305.15,5.7
85,camopi,100,GF,1566944703,62,3.17,-52.33,301.1,2.29
86,longyearbyen,75,NO,1566944703,70,78.22,15.63,279.15,8.2
87,mangrol,100,IN,1566944676,88,25.33,76.51,299.4,3.04
88,port blair,90,IN,1566944445,94,11.67,92.75,296.15,3.1
89,kraskino,100,RU,1566944704,99,42.71,130.78,290.0,1.27
90,pryluky,0,UA,1566944704,81,50.6,32.39,290.9,2.89
91,tecolutla,38,MX,1566944704,83,17.31,-98.74,295.0,1.76
92,hobyo,100,SO,1566944704,78,5.35,48.53,297.6,11.49
93,bambous virieux,40,MU,1566944705,56,-20.34,57.76,295.15,4.6
94,hamilton,90,CA,1566944522,88,43.26,-79.87,296.48,7.2
95,shikarpur,0,PK,1566944705,41,27.96,68.63,306.3,1.41
96,sambava,3,MG,1566944705,95,-14.27,50.17,289.7,1.65
97,aranos,0,NA,1566944705,16,-24.14,19.11,288.0,4.7
98,ostrovnoy,97,RU,1566944464,70,68.05,39.51,278.2,6.19
99,chinsali,0,ZM,1566944705,38,-10.55,32.07,291.7,4.16
100,labuhan,100,ID,1566944705,97,-2.54,115.51,293.8,0.48
101,mwense,0,ZM,1566944705,30,-10.39,28.7,293.6,2.07
102,cape town,20,ZA,1566944705,81,-33.93,18.42,283.71,0.5
103,baghdad,0,IQ,1566944706,23,33.3,44.38,307.15,3.1
104,georgetown,20,GY,1566944564,70,6.8,-58.16,304.15,6.2
105,bud,0,NO,1566944706,93,62.91,6.91,291.15,2.1
106,maslovare,0,BA,1566944706,94,44.56,17.53,293.15,1.0
107,batangafo,90,CF,1566944706,96,7.3,18.29,294.1,0.4
108,alofi,75,NU,1566944686,94,-19.06,-169.92,297.15,3.1
109,coquimbo,0,CL,1566944706,46,-29.95,-71.34,295.15,4.1
110,gobabis,0,NA,1566944706,13,-22.45,18.97,288.15,0.52
111,denia,0,ES,1566944707,79,38.84,0.11,296.48,1.28
112,doctor juan leon mallorquin,0,PY,1566944707,45,-25.4,-55.27,301.15,2.6
113,russell,40,US,1566944707,50,38.9,-98.86,298.71,2.1
114,antalaha,9,MG,1566944707,97,-14.9,50.28,287.7,1.8
115,sovetskiy,82,RU,1566944707,89,56.76,48.47,283.0,6.82
116,ushuaia,75,AR,1566944707,48,-54.81,-68.31,279.15,11.3
117,middle island,1,US,1566944707,64,40.88,-72.94,295.15,2.1
118,payakumbuh,100,ID,1566944708,97,-0.23,100.63,291.5,1.81
119,kutum,88,SD,1566944708,70,14.2,24.66,296.4,3.45
120,chiredzi,0,ZW,1566944708,39,-21.05,31.67,297.0,3.75
121,zhangye,0,CN,1566944708,49,38.94,100.46,290.2,1.3
122,hay river,75,CA,1566944708,42,60.82,-115.79,293.15,1.0
123,comodoro rivadavia,0,AR,1566944708,57,-45.87,-67.48,284.15,6.2
124,bainbridge,40,US,1566944708,88,30.9,-84.58,299.82,2.6
125,walvis bay,0,NA,1566944708,86,-22.95,14.51,284.82,1.34
126,coolum beach,1,AU,1566944709,96,-26.53,153.09,290.37,1.03
127,ryotsu,75,JP,1566944709,100,38.08,138.43,295.15,2.6
128,coihaique,90,CL,1566944709,99,-45.58,-72.07,275.15,1.5
129,banepa,75,NP,1566944709,94,27.63,85.52,296.15,1.5
130,bulalacao,99,PH,1566944709,96,13.7,123.78,296.4,2.33
131,pemba,40,MZ,1566944709,94,-12.97,40.52,297.15,2.6
132,ambunti,98,PG,1566944709,99,-4.22,142.82,296.1,0.73
133,meulaboh,100,ID,1566944709,81,4.14,96.13,300.1,3.45
134,ust-barguzin,1,RU,1566944710,95,53.41,109.03,282.0,1.02
135,xai-xai,0,MZ,1566944710,63,-25.04,33.64,292.9,2.42
136,klaksvik,100,FO,1566944702,93,62.23,-6.59,283.15,2.1
137,codrington,90,AU,1566944632,87,-28.95,153.24,289.82,1.22
138,phitsanulok,100,TH,1566944710,94,16.82,100.26,297.4,2.18
139,tecoanapa,2,MX,1566944710,53,16.99,-99.26,305.5,1.77
140,gigmoto,100,PH,1566944710,79,13.78,124.39,301.2,6.69
141,rikitea,67,PF,1566944710,73,-23.12,-134.97,294.3,4.92
142,new norfolk,75,AU,1566944710,54,-42.78,147.06,285.15,4.1
143,martin,90,US,1566944599,94,36.34,-88.85,302.04,2.1
144,nueva loja,75,EC,1566944460,62,0.08,-76.88,306.15,2.6
145,humaita,0,AR,1566944711,44,-24.93,-65.37,301.15,3.6
146,hilo,1,US,1566944711,48,19.71,-155.08,304.15,3.6
147,north bend,1,US,1566944711,33,43.41,-124.22,312.04,3.6
148,hithadhoo,72,MV,1566944711,72,-0.6,73.08,301.6,4.21
149,aykhal,90,RU,1566944711,87,65.95,111.51,282.15,3.0
150,ilulissat,46,GL,1566944711,65,69.22,-51.1,278.15,1.0
151,anuradhapura,100,LK,1566944711,82,8.34,80.41,299.2,5.37
152,yatou,75,CM,1566944413,100,3.63,9.81,298.15,0.5
153,mataura,78,NZ,1566944712,65,-46.19,168.86,285.37,4.02
154,vanimo,84,PG,1566944712,77,-2.67,141.3,300.1,3.66
155,lata,84,IN,1566944712,92,30.78,78.62,278.3,0.74
156,cavalcante,59,BR,1566944654,29,-13.79,-47.46,296.5,2.98
157,taitung,61,TW,1566944712,82,22.76,121.15,289.6,1.38
158,zanesville,90,US,1566944712,78,39.94,-82.01,298.15,3.6
159,bredy,100,RU,1566944712,69,52.43,60.33,284.6,4.05
160,caucaia,0,BR,1566944712,74,-3.73,-38.66,300.15,5.7
161,lompoc,1,US,1566944713,64,34.64,-120.46,302.59,7.2
162,ancud,90,CL,1566944703,100,-41.87,-73.83,284.15,10.3
163,lamu,95,CN,1566944713,76,35.77,102.37,285.2,0.39
164,saint-louis,40,SN,1566944713,78,16.03,-16.5,301.15,4.1
165,vao,95,EE,1566944694,70,59.1,26.19,288.6,2.01
166,upernavik,100,GL,1566944713,64,72.79,-56.15,277.1,1.75
167,pietermaritzburg,69,ZA,1566944713,89,-29.6,30.38,290.93,0.74
168,fostoria,40,US,1566944713,38,43.24,-95.16,296.15,12.3
169,boguchany,0,RU,1566944713,86,58.38,97.46,282.2,1.97
170,karratha,8,AU,1566944714,95,-20.74,116.85,286.7,1.14
171,saint anthony,1,US,1566944714,16,43.97,-111.68,300.37,3.6
172,praia da vitoria,40,PT,1566944714,88,38.73,-27.07,296.15,3.38
173,scarborough,68,GB,1566944573,93,54.28,-0.41,293.15,3.1
174,paamiut,49,GL,1566944714,85,61.99,-49.67,279.0,11.82
175,labuan,75,BN,1566944714,88,5.28,115.24,298.15,1.5
176,rockport,40,US,1566944460,66,28.02,-97.05,307.15,8.2
177,alcantara,100,PH,1566944715,97,9.97,123.41,295.1,2.56
178,west bay,20,CA,1566944715,68,49.34,-123.21,302.15,5.1
